2014年01月01日,19℃/2℃,北风≤3级/北风≤3级,晴/晴
2014年01月02日,17℃/6℃,北风≤3级/北风≤3级,晴/多云
2014年01月03日,17℃/4℃,北风≤3级/北风≤3级,晴/多云
2014年01月04日,16℃/3℃,北风≤3级/南风≤3级,晴/多云
2014年01月05日,17℃/7℃,南风≤3级/南风≤3级,晴/阴
2014年01月06日,14℃/6℃,北风≤3级/北风≤3级,阴/小雨
2014年01月07日,7℃/3℃,北风3-4级/北风3-4级,小雨/小雨
2014年01月08日,7℃/4℃,北风3-4级/北风≤3级,阴/多云
2014年01月09日,10℃/4℃,北风≤3级/北风≤3级,多云/多云
2014年01月10日,7℃/3℃,北风≤3级/北风≤3级,小雨/小雨
2014年01月11日,4℃/2℃,北风≤3级/北风≤3级,小雨/小雨
2014年01月12日,6℃/2℃,北风≤3级/北风≤3级,阴/阴
2014年01月13日,10℃/0℃,北风≤3级/北风≤3级,多云/晴
2014年01月14日,13℃/1℃,北风≤3级/北风≤3级,晴/晴
2014年01月15日,13℃/1℃,北风≤3级/北风≤3级,晴/晴
2014年01月16日,13℃/3℃,北风≤3级/北风≤3级,多云/多云
2014年01月17日,15℃/1℃,北风≤3级/北风≤3级,多云/晴
2014年01月18日,15℃/3℃,北风≤3级/北风≤3级,多云/晴
2014年01月19日,15℃/2℃,北风≤3级/北风≤3级,晴/晴
2014年01月20日,15℃/1℃,北风≤3级/北风≤3级,多云/晴
2014年01月21日,15℃/1℃,北风≤3级/南风≤3级,晴/晴
2014年01月22日,15℃/1℃,南风≤3级/南风≤3级,晴/晴
2014年01月23日,17℃/4℃,南风≤3级/北风≤3级,晴/晴
2014年01月24日,20℃/10℃,北风≤3级/北风≤3级,晴/晴
2014年01月25日,19℃/8℃,北风≤3级/北风≤3级,多云/多云
2014年01月26日,14℃/7℃,北风≤3级/北风≤3级,多云/多云
2014年01月27日,18℃/8℃,南风≤3级/北风≤3级,多云/多云
2014年01月28日,14℃/8℃,北风≤3级/北风≤3级,阴/阴
2014年01月29日,15℃/4℃,北风≤3级/北风≤3级,阴/多云
2014年01月30日,20℃/10℃,北风≤3级/南风≤3级,晴/晴
2014年01月31日,25℃/14℃,南风≤3级/南风≤3级,晴/晴
2014年06月01日,34℃/24℃,南风≤3级/北风≤3级,小雨/大雨
2014年06月02日,28℃/21℃,北风≤3级/北风≤3级,阵雨/多云
2014年06月03日,30℃/22℃,北风≤3级/北风≤3级,多云/多云
2014年06月04日,28℃/22℃,北风≤3级/北风≤3级,阵雨/小到中雨
2014年06月05日,24℃/22℃,北风≤3级/北风≤3级,中雨/阵雨
2014年06月06日,27℃/22℃,北风≤3级/北风≤3级,阵雨/阴
2014年06月07日,31℃/24℃,南风≤3级/北风≤3级,多云/多云
2014年06月08日,32℃/23℃,北风≤3级/南风≤3级,多云/多云
